business_id,business_name,business_address,business_postal_code,business_latitude,business_longitude,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,date,time
3561,Lee's Deli,235 Montgomery St,94104,37.791464,-122.402435,-362115445,2017-01-23,67,Routine - Unscheduled,103120,Moderate risk food holding temperature,Moderate Risk,2017-01-23,1970-01-01T12:00:00.000Z
1075,"SANDWICH PLACE, THE",2029 MISSION St,94110,37.764384,-122.419566,145988326,2017-07-26,87,Routine - Unscheduled,103103,High risk food holding temperature,High Risk,2017-07-26,1970-01-01T12:00:00.000Z
3394,The Keystone,68 04th St,94103,37.784915,-122.404832,117764039,2018-04-23,89,Routine - Unscheduled,103114,High risk vermin infestation,High Risk,2018-04-23,1970-01-01T12:00:00.000Z
1005,CHAVITA'S MEXICAN RESTAURANT,3006 MISSION St,94110,37.748855,-122.418134,1735922905,2017-07-13,78,Routine - Unscheduled,103156,Permit license or inspection report not posted,Low Risk,2017-07-13,1970-01-01T12:00:00.000Z
2447,NEW CASTILLITO INC.,2092 MISSION St,94110,37.76356,-122.419582,-92955660,2018-02-12,90,Routine - Unscheduled,103118,Employee eating or smoking,Moderate Risk,2018-02-12,1970-01-01T12:00:00.000Z
63047,Roam Artisan Burgers,1785 UNION St,94123,37.797954,-122.428477,-291819309,2017-12-19,92,Routine - Unscheduled,103144,Unapproved or unmaintained equipment or utensils,Low Risk,2017-12-19,1970-01-01T12:00:00.000Z
3869,SAFEWAY #739,3350 MISSION St,94110,37.742998,-122.421638,373123968,2018-06-08,94,Routine - Unscheduled,103150,Improper or defective plumbing,Low Risk,2018-06-08,1970-01-01T12:00:00.000Z
3317,Pane e Vino Trattoria,1715 UNION St,94123,37.798063,-122.427637,1007698737,2018-05-29,86,Routine - Unscheduled,103114,High risk vermin infestation,High Risk,2018-05-29,1970-01-01T12:00:00.000Z
2842,SEASONS RESTAURANT,757 MARKET St 5/Fl,94103,37.786476,-122.404852,752329080,2017-06-16,73,Routine - Unscheduled,103129,Insufficient hot water or running water,Moderate Risk,2017-06-16,1970-01-01T12:00:00.000Z
1641,MARTHA & BROS. COFFEE CO,1551 Church St,94131,37.745974,-122.426856,911423468,2018-07-16,90,Routine - Unscheduled,103156,Permit license or inspection report not posted,Low Risk,2018-07-16,1970-01-01T12:00:00.000Z
3561,Lee's Deli,235 Montgomery St,94104,37.791464,-122.402435,-362094846,2019-07-22,77,Routine - Unscheduled,103138,Improper storage use or identification of toxic substances,Low Risk,2019-07-22,1970-01-01T12:00:00.000Z
1641,MARTHA & BROS. COFFEE CO,1551 Church St,94131,37.745974,-122.426856,911423468,2018-07-16,90,Routine - Unscheduled,103154,Unclean or degraded floors walls or ceilings,Low Risk,2018-07-16,1970-01-01T12:00:00.000Z
7207,GOLDEN PRODUCE,172 CHURCH St,94114,37.768187,-122.429024,-834335623,2017-01-05,92,Routine - Unscheduled,103131,Moderate risk vermin infestation,Moderate Risk,2017-01-05,1970-01-01T12:00:00.000Z
619,A-1 BAKERY,1727 OCEAN Ave,94112,37.724824,-122.460726,1790648573,2019-07-17,78,Routine - Unscheduled,103148,No thermometers or uncalibrated thermometers,Low Risk,2019-07-17,1970-01-01T12:00:00.000Z
3055,"SAFEWAY STORES, INC. #995",1335 Webster St,94115,37.783253,-122.431034,577512102,2019-01-18,88,Routine - Unscheduled,103120,Moderate risk food holding temperature,Moderate Risk,2019-01-18,1970-01-01T12:00:00.000Z
5905,MARINA MIDDLE SCHOOL,3500 FILLMORE St,94123,37.801776,-122.43641,2109650761,2017-03-13,86,Routine - Unscheduled,103129,Insufficient hot water or running water,Moderate Risk,2017-03-13,1970-01-01T12:00:00.000Z
59574,Pan Lido Salvadoreno,3147 22nd St,94110,37.755479,-122.417583,300540655,2018-02-07,88,Routine - Unscheduled,103142,Unclean nonfood contact surfaces,Low Risk,2018-02-07,1970-01-01T12:00:00.000Z
2008,Hook a Cook,Pier 39  Building B  Space 1-3,94133,37.786766,-122.461545,-1043291708,2017-12-04,88,Routine - Unscheduled,103161,Low risk vermin infestation,Low Risk,2017-12-04,1970-01-01T12:00:00.000Z
1596,BURGERMEISTER,86 Carl St,94117,37.765848,-122.449664,706381249,2017-12-01,96,Routine - Unscheduled,103144,Unapproved or unmaintained equipment or utensils,Low Risk,2017-12-01,1970-01-01T12:00:00.000Z
2325,THE CITRUS CLUB,1790 HAIGHT St,94117,37.769428,-122.451604,591947144,2018-11-28,88,Routine - Unscheduled,103121,Inadequate procedures or records for time as a public health control,Moderate Risk,2018-11-28,1970-01-01T12:00:00.000Z
15279,Deli World,18 Ocean Ave.,94112,37.724174,-122.435859,-1088196364,2016-10-12,92,Routine - Unscheduled,103154,Unclean or degraded floors walls or ceilings,Low Risk,2016-10-12,1970-01-01T12:00:00.000Z
3678,ROUND TABLE PIZZA,737 PORTOLA Dr,94127,37.744168,-122.453479,-1547006731,2018-07-25,96,Routine - Unscheduled,103144,Unapproved or unmaintained equipment or utensils,Low Risk,2018-07-25,1970-01-01T12:00:00.000Z
5961,ST VINCENT DE PAUL,2356 GREEN St,94123,37.795882,-122.43789,-880283822,2017-03-22,96,Routine - Unscheduled,103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,2017-03-22,1970-01-01T12:00:00.000Z
18102,Kim Son Restaurant,3614 BALBOA St,94121,37.775728,-122.497701,2038958604,2019-02-20,71,Routine - Unscheduled,103114,High risk vermin infestation,High Risk,2019-02-20,1970-01-01T12:00:00.000Z
1296,TAQUERIA EL BUEN SABOR,699 VALENCIA St,94112,37.761743,-122.421492,771161621,2018-05-01,82,Routine - Unscheduled,103159,Worker safety hazards,Low Risk,2018-05-01,1970-01-01T12:00:00.000Z
